Time 	#	x	y	z	Vel(m/s)	Energy Level(%)	Current Energy(Wh)	Energy Consumed(Wh)	Total Consumed(Wh)
1	0	5.1	-1.65	0	1	0.0462963	14996.5	6.92632e-310	6.92632e-310
2	0	6.1	-1.65	0	2	0.0462854	14986.5	3.53926	3.53926
3	0	8.1	-1.65	0	3	0.0462546	14970	9.98469	13.524
4	0	11.1	-1.65	0	4	0.0462038	14947.1	16.4415	29.9654
5	0	15.1	-1.65	0	5	0.0461331	14917.7	22.9148	52.8802
6	0	20.1	-1.65	0	6	0.0460423	14881.8	29.4102	82.2903
7	0	26.1	-1.65	0	7	0.0459314	14839.3	35.9331	118.223
8	0	33.1	-1.65	0	8	0.0458003	14790.2	42.4892	160.713
9	0	41.1	-1.65	0	9	0.0456488	14734.5	49.084	209.797
10	0	50.1	-1.65	0	10	0.0454768	14672.1	55.7229	265.52
11	0	60.1	-1.65	0	11	0.0452842	14602.9	62.4114	327.931
12	0	71.1	-1.65	0	12	0.0450707	14527	69.1551	397.086
13	0	83.1	-1.65	0	13	0.0448363	14444.1	75.9596	473.046
14	0	96.1	-1.65	0	13.9	0.0445806	14362.6	82.8303	555.876
15	0	110	-1.65	0	13.9	0.0443291	14352.1	81.4809	637.357
16	0	123.9	-1.65	0	13.9	0.0442968	14341.7	10.4947	647.852
17	0	137.8	-1.65	0	13.9	0.0442644	14331.2	10.4947	658.346
18	0	151.7	-1.65	0	13.9	0.044232	14320.7	10.4947	668.841
19	0	165.6	-1.65	0	13.9	0.0441996	14310.2	10.4947	679.336
20	0	179.5	-1.65	0	13.9	0.0441672	14299.7	10.4947	689.831
21	0	193.4	-1.65	0	13.9	0.0441348	14289.2	10.4947	700.325
22	0	207.3	-1.65	0	13.9	0.0441024	14278.7	10.4947	710.82
23	0	221.2	-1.65	0	13.9	0.04407	14268.2	10.4947	721.315
24	0	235.1	-1.65	0	13.9	0.0440376	14257.7	10.4947	731.809
25	0	249	-1.65	0	13.9	0.0440052	14247.2	10.4947	742.304
26	0	262.9	-1.65	0	13.9	0.0439728	14236.7	10.4947	752.799
27	0	276.8	-1.65	0	13.9	0.0439405	14226.2	10.4947	763.294
28	0	290.7	-1.65	0	13.9	0.0439081	14215.7	10.4947	773.788
29	0	304.6	-1.65	0	13.9	0.0438757	14205.2	10.4947	784.283
30	0	318.5	-1.65	0	13.9	0.0438433	14194.7	10.4947	794.778
31	0	332.4	-1.65	0	13.9	0.0438109	14184.2	10.4947	805.272
32	0	346.3	-1.65	0	13.9	0.0437785	14173.7	10.4947	815.767
33	0	360.2	-1.65	0	13.9	0.0437461	14163.2	10.4947	826.262
34	0	374.1	-1.65	0	13.9	0.0437137	14152.7	10.4947	836.757
35	0	388	-1.65	0	13.9	0.0436813	14142.3	10.4947	847.251
36	0	401.9	-1.65	0	13.9	0.0436489	14131.8	10.4947	857.746
37	0	415.8	-1.65	0	13.9	0.0436165	14121.3	10.4947	868.241
38	0	429.7	-1.65	0	13.9	0.0435841	14110.8	10.4947	878.736
39	0	443.6	-1.65	0	13.9	0.0435518	14100.3	10.4947	889.23
40	0	457.5	-1.65	0	13.9	0.0435194	14089.8	10.4947	899.725
41	0	471.4	-1.65	0	13.9	0.043487	14079.3	10.4947	910.22
